"#","Prompt","Perché·¢fa per te","Difficoltà·¢","Skill richieste","Guadagno mensile","Tempo","Tipo attività"
"1","Micro-SaaS per nicchie (es. tracker MTG)","Sfrutta la tua passione per Magic + skill full-stack, costruibile in 2 settimane","Intermedio","Java, React, Spring Boot, Docker","200€+","5-7 giorni","Micro-SaaS"
"3","Template React per landing page","Hai già esperienza con React/Vite, riutilizzabile per più clienti","Principiante","React, Vite, CSS","50-100€","<3 giorni","Prodotti digitali"
"6","Snippet Spring Boot vendibili","Conosci già Spring, puoi pacchettizzare codice che già scrivi","Intermedio","Java, Spring Boot","100-200€","3-5 giorni","Prodotti digitali"
"10","Mini-corsi su Udemy (es. 'Roguelike in Java')","Hai progetti game già fatti, trasformali in corso vendibile","Principiante","Java, Writing, Video","100-200€","7+ giorni","Content"
"13","API pubbliche su RapidAPI (es. MTG prices)","Combina interesse per MTG + skill API Spring Boot","Avanzato","Java, Spring Boot, API design","200€+","7+ giorni","Micro-SaaS"
"22","Dashboard React per nicchie","Hai già gestore-spese e DrinkME come base per template","Intermedio","React, Vite, CSS custom","100-200€","5-7 giorni","Freelancing"
"46","Template CI/CD GitHub Actions","Usi già GitHub daily, puoi documentare il tuo workflow","Principiante","GitHub, YAML, Bash","50-100€","<3 giorni","Prodotti digitali"
"54","Micro-corsi Docker + Spring","Hai esperienza Docker, c'è·¢ domanda alta su questo stack","Intermedio","Docker, Spring Boot, Writing","100-200€","5-7 giorni","Content"
"64","React components pack","Hai CSS custom e UI experience, pacchettizzabile facilmente","Principiante","React, CSS, JavaScript","50-100€","3-5 giorni","Prodotti digitali"
"100","Prodotti dai tuoi GitHub","Hai già repo pubbliche, puoi creare versioni premium/template","Intermedio","Java, React, GitHub","200€+","7+ giorni","Prodotti digitali"
