"#","Prompt","Perché fa per te","Difficoltà","Skill richieste","Guadagno mensile","Tempo","Tipo attività"
"1","Micro-SaaS per nicchie (es. tracker MTG)","Sfrutta la tua passione per Magic e le skill full-stack: un progetto costruibile in circa due settimane.","Intermedio","Java, React, Spring Boot, Docker","200€+","5-7 giorni","Micro-SaaS"
"3","Template React per landing page","Hai esperienza con React e Vite: puoi creare asset riutilizzabili per più clienti o nicchie.","Principiante","React, Vite, CSS","50-100€","<3 giorni","Prodotti digitali"
"6","Snippet Spring Boot vendibili","Conosci Spring: puoi trasformare soluzioni che già realizzi in componenti ben documentati e riutilizzabili.","Intermedio","Java, Spring Boot","100-200€","3-5 giorni","Prodotti digitali"
"10","Mini-corsi su Udemy (es. Roguelike in Java)","Hai progetti game già fatti: organizzali in un percorso pratico e condividi ciò che hai imparato.","Principiante","Java, Writing, Video","100-200€","7+ giorni","Content"
"13","API pubbliche su RapidAPI (es. MTG prices)","Combina l'interesse per Magic con le skill API in Spring Boot per risolvere un'esigenza di nicchia.","Avanzato","Java, Spring Boot, API design","200€+","7+ giorni","Micro-SaaS"
"22","Dashboard React per nicchie","Puoi partire da progetti come gestore-spese o DrinkME per creare dashboard adattabili a specifici settori.","Intermedio","React, Vite, CSS custom","100-200€","5-7 giorni","Freelancing"
"46","Template CI/CD GitHub Actions","Usi GitHub quotidianamente: puoi trasformare un workflow solido in un template guidato.","Principiante","GitHub, YAML, Bash","50-100€","<3 giorni","Prodotti digitali"
"54","Micro-corsi Docker + Spring","Hai esperienza con Docker e Spring: crea contenuti introduttivi orientati a casi d'uso reali.","Intermedio","Docker, Spring Boot, Writing","100-200€","5-7 giorni","Content"
"64","React components pack","Le tue skill di CSS e UI possono diventare una raccolta di componenti chiari e personalizzabili.","Principiante","React, CSS, JavaScript","50-100€","3-5 giorni","Prodotti digitali"
"100","Prodotti dai tuoi GitHub","Trasforma i progetti già pubblicati in template, starter kit o versioni premium con documentazione.","Intermedio","Java, React, GitHub","200€+","7+ giorni","Prodotti digitali"
