"#","Titolo","Perché fa per te","Difficoltà°°","Skill richieste","Guadagno mensile","Tempo","Tipo attività","Prompt Effettivo"
"1","Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane usando React + Spring Boot, risolvendo problemi specifici di nicchie piccole ma disposte a pagare (es. tracker per collezionisti, gestionali per piccoli business locali)","Crei un tracker per collezionisti di carte Magic (tua nicchia!) con feature premium a 5€/mese","Avanzato","Java, React, Spring","100-300€","10-14 giorni","Micro-SaaS","Sei un esperto di micro-SaaS. Analizza le mie skill (React, Spring Boot, Java) e i miei interessi (Magic: The Gathering, gaming, collezionismo). Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane, risolvendo problemi specifici di nicchie piccole ma disposte a pagare. Per ogni idea specifica: problema risolto, feature essenziali, pricing consigliato, come trovare i primi 10 clienti."
"2","Scrivi 10 script Python/Java che automatizzano task noiosi per freelancer (es. scraping prezzi competitor, generazione report automatici, bulk renaming file) e vendili su Gumroad a 5-15€","Script per bulk-resize immagini per e-commerce, venduto a 9€, 20 vendite/mese","Intermedio","Java, Git","50-150€","3-5 giorni","Automazione","Sei un esperto di automazione per freelancer. Identifica 10 task noiosi e ripetitivi che i freelancer fanno quotidianamente (es. scraping prezzi, report automatici, bulk file operations). Per ognuno scrivi uno script Java/Python completo, pronto all'uso, con istruzioni di installazione. Poi dammi il testo per la pagina Gumroad: titolo, descrizione, prezzo (5-15€), screenshot mockup."
"3","Crea 15 template React + Vite pronti per landing page di piccoli business (ristoranti, palestre, studi professionali) e vendili su Creative Market o Gumroad","Template per palestra locale, venduto a 12€, 15 vendite/mese","Intermedio","React, JS, CSS","80-200€","5-7 giorni","Prodotti digitali","Sei un designer di template web. Crea 15 concept di landing page per piccoli business locali (ristoranti, palestre, studi legali, veterinari, ecc.). Per ognuno: struttura sezioni, colori, font, CTA. Poi genera il codice React + Vite completo per 3 template (uno per categoria), responsive e pronti da vendere su Creative Market a 12-15€."
"4","Genera 20 idee di Chrome Extension semplici che risolvono micro-problemi quotidiani e monetizzabili con donazioni o feature premium","Extension per trackare sconti su Amazon, monetizzata con affiliate link","Intermedio","JS, React","50-150€","4-6 giorni","Micro-SaaS","Sei un esperto di Chrome Extension. Trova 20 micro-problemi quotidiani che una extension può risolvere (es. trackare sconti, salvare snippet, bloccare distrazioni). Per ogni idea: problema, soluzione, come monetizzare (donazioni, premium, affiliate). Scegli le 3 migliori e scrivi il codice completo dell'extension con manifest.json, popup.html, background.js."
"5","Scrivi 10 tutorial tecnici passo-passo su come costruire X con Spring Boot/React e pubblicali su Dev.to/Medium con affiliate link a hosting/corsi","Tutorial 'API REST con Spring Security', affiliate hosting = 5€/signup","Intermedio","Java, Spring, writing","30-100€","2-3 giorni","Content","Sei un technical writer esperto. Genera 10 titoli di tutorial su Spring Boot/React che hanno alta domanda su Dev.to/Medium (es. 'API REST con Spring Security', 'Deploy React su Vercel'). Per ognuno scrivi la struttura dell'articolo (intro, step 1-5, conclusioni) e i punti dove inserire affiliate link a hosting/corsi. Poi scrivi il tutorial completo per il primo titolo."
"6","Crea 20 snippet di codice riutilizzabili (es. auth con JWT, CRUD generico, Docker compose per stack comuni) e vendili come pacchetti su Gumroad","Pacchetto 'Spring Boot Starter Kit' con 10 snippet, venduto a 7€","Intermedio","Java, Spring, Docker","40-120€","3-4 giorni","Prodotti digitali","Sei un developer esperto. Identifica 20 snippet di codice che i developer usano spesso (auth JWT, CRUD, Docker compose, config CI/CD). Per ognuno scrivi il codice completo, commentato e pronto da copiare. Organizza in 4 pacchetti da 5 snippet (es. 'Spring Boot Starter', 'Docker Quick Start'). Crea la pagina Gumroad per ogni pacchetto: titolo, descrizione, prezzo (7-9€)."
"7","Genera 15 idee di bot Discord/Telegram utili per community (moderazione, utility, gaming) e offri setup personalizzato a pagamento","Bot Discord per tracker prezzi carte MTG, setup a 25€","Intermedio","Java, JS, Git","60-180€","3-5 giorni","Automazione","Sei un esperto di bot Discord/Telegram. Trova 15 utility che le community cercano (moderazione, tracker prezzi, gaming, reminder). Per ogni idea: cosa fa, comandi, come monetizzare (setup a pagamento, premium). Scegli le 3 migliori e scrivi il codice completo del bot (Java/JS) con istruzioni di deploy."
"8","Scrivi 10 script di automazione per task GitHub (es. auto-label PR, backup repo, generazione changelog) e vendili su Fiverr come servizio","Servizio 'Setup CI/CD con GitHub Actions' a 30€","Intermedio","Git, Bash, YAML","50-150€","2-3 giorni","Automazione","Sei un esperto di GitHub Actions. Identifica 10 task GitHub ripetitivi (auto-label PR, backup, changelog, release). Per ognuno scrivi uno script Bash/Python o workflow YAML pronto all'uso. Poi crea la pagina Fiverr: titolo ('Automatizzo il tuo GitHub'), descrizione servizi, pricing (30-50€ a script), delivery time."
"9","Crea 20 template di Docker Compose per stack popolari (WordPress + MySQL, React + Node + Mongo, ecc.) e vendili come pacchetti pronti","Pacchetto 'Dev Stack Templates' con 10 compose, venduto a 8€","Intermedio","Docker, YAML","40-100€","2-3 giorni","Prodotti digitali","Sei un DevOps engineer. Lista 20 stack popolari (WordPress+MySQL, React+Node+Mongo, Spring+Postgres, ecc.). Per ognuno scrivi il docker-compose.yml completo, pronto da usare. Organizza in pacchetti (es. 'Web Stacks', 'Dev Environments'). Crea la pagina Gumroad: titolo, descrizione, prezzo (8€), lista template inclusi."
"10","Genera 15 idee di mini-corsi video (15-30 min) su skill che hai già (es. 'Spring Boot in 20 minuti', 'React + Vite setup') e vendili su Udemy","Corso 'Roguelike Game in Java' a 15€, 10 vendite/mese","Intermedio","Java, writing","80-200€","5-7 giorni","Content","Sei un instructional designer. Analizza le mie skill (Java, Spring, React, Docker, Git). Genera 15 idee di mini-corsi video (15-30 min) che posso registrare e vendere su Udemy. Per ogni corso: titolo accattivante, cosa imparano, struttura lezioni (3-5 video), prezzo consigliato (12-20€). Scegli i 3 migliori e scrivi la descrizione completa del corso per Udemy."
"11","Scrivi 10 checklist tecniche per sviluppatori (es. 'Security Checklist per API REST', 'Pre-launch Checklist per React App') e vendile su Gumroad","Checklist 'Deploy Docker in Produzione', venduta a 4€","Principiante","Docker, Java, writing","30-80€","1-2 giorni","Prodotti digitali","Sei un developer senior. Identifica 10 situazioni dove i developer hanno bisogno di checklist (deploy, security, code review, pre-launch). Per ognuna crea una checklist dettagliata in formato markdown/PDF. Organizza in pacchetti (es. 'Dev Checkpoints Bundle'). Crea la pagina Gumroad: titolo, descrizione, prezzo (4-6€), anteprima checklist."
"12","Crea 20 prompt ChatGPT pronti per sviluppatori (es. 'Genera unit test per classe Java', 'Debugga questo errore Spring') e vendili come pacchetto","Pacchetto '100 Prompt per Dev Java', venduto a 9€","Intermedio","Java, writing","50-150€","2-3 giorni","Prodotti digitali","Sei un prompt engineer esperto. Identifica 20 task comuni per sviluppatori Java/Spring (genera test, debugga errori, refactoring, documentazione). Per ognuno scrivi 5 varianti di prompt ChatGPT ottimizzati, pronti da copiare. Organizza in pacchetti (es. 'Java Dev Prompts', 'Spring Boot Prompts'). Crea la pagina Gumroad: titolo, descrizione, prezzo (9€), anteprima 10 prompt."
"13","Genera 15 idee di API pubbliche utili (es. tracker crypto, quote generator, weather wrapper) e monetizzale con tier freemium su RapidAPI","API 'MTG Card Prices' con tier free + premium a 10€/mese","Intermedio","Java, Spring, Git","60-180€","5-7 giorni","Micro-SaaS","Sei un esperto di API. Trova 15 idee di API pubbliche utili (tracker prezzi, dati sportivi, quote, weather, gaming). Per ogni idea: cosa fa, da dove prende i dati, come monetizzare su RapidAPI (tier free, basic 10€/mese, pro 30€/mese). Scegli le 3 migliori e scrivi il codice Spring Boot completo dell'API con documentazione."
